846.17	98.611	9.2232	9.2232	0	0.7778	0.7778	0	0.084331	0.84446
289.15	100.38	13.052	13.052	0	13.325	13.325	0	1.0209	-0.010342
491.17	98.833	9.4667	9.4667	0	9.1117	9.1117	0	0.96251	0.019104
516	100.5	16.846	16.846	0	15.443	15.443	0	0.91676	0.04343
462	104.5	12.085	12.085	0	0.5	0.5	0	0.041374	0.92054
611.87	104.29	15.106	15.106	0	0.14022	0.14022	0	0.0092824	0.98161
626.97	104.62	8.8848	8.8848	0	0.52486	0.52486	0	0.059073	0.88844
301.42	104.83	13.052	13.052	0	0.37271	0.37271	0	0.028556	0.94447
685	104	10.561	10.561	0	9.3913	9.3913	0	0.88926	0.058614
566.5	104.5	6.9197	6.9197	0	1.1781	1.1781	0	0.17025	0.70904
726.17	104.83	21.049	21.049	0	0.53745	0.53745	0	0.025533	0.9502
866.12	105.88	12.137	12.137	0	0.80308	0.80308	0	0.066166	0.87588
386.5	105.5	10.384	10.384	0	10.463	10.463	0	1.0076	-0.0037864
342.88	107.62	16.788	16.788	0	0.39525	0.39525	0	0.023544	0.954
487.98	109.39	11.026	11.026	0	0.66242	0.66242	0	0.060079	0.88665
850	107	9.2232	9.2232	0	8.5219	8.5219	0	0.92396	0.039521
892.5	110.5	21.36	21.36	0	1.118	1.118	0	0.052342	0.90052
679.61	113.08	8.2811	8.2811	0	1.1698	1.1698	0	0.14126	0.75245
390.77	114.97	10.384	10.384	0	0.82115	0.82115	0	0.07908	0.85343
404.21	114	13.482	13.482	0	0.2857	0.2857	0	0.021191	0.9585
747.1	114.97	10.479	10.479	0	0.20679	0.20679	0	0.019733	0.9613
659.5	113.5	14.345	14.345	0	0.5	0.5	0	0.034855	0.93264
372.25	116.88	7.4866	7.4866	0	0.27951	0.27951	0	0.037334	0.92802
379.71	117.5	7.4866	7.4866	0	0.12129	0.12129	0	0.0162	0.96812
872	116.5	12.137	12.137	0	0.68722	0.68722	0	0.056621	0.89283
284.5	117	17.255	17.255	0	0.39528	0.39528	0	0.022908	0.95521
583.94	120.97	11.616	11.616	0	0.95696	0.95696	0	0.08238	0.84778
708	116.5	10.023	10.023	0	0.7308	0.7308	0	0.072916	0.86408
757.1	118.1	10.479	10.479	0	0.55075	0.55075	0	0.052556	0.90014
680.48	121.31	8.2811	8.2811	0	0.14599	0.14599	0	0.01763	0.96535
449.81	121.53	16.3	16.3	0	0.82632	0.82632	0	0.050695	0.9035
516.76	121.72	14.229	14.229	0	0.31286	0.31286	0	0.021988	0.95697
646.83	120.23	14.33	14.33	0	0.84853	0.84853	0	0.059212	0.8882
423.91	121.76	21.167	21.167	0	0.21698	0.21698	0	0.010251	0.97971
715.6	123.04	10.023	10.023	0	1.1747	1.1747	0	0.1172	0.79019
351.75	121.88	7.6618	7.6618	0	0.30516	0.30516	0	0.039829	0.92339
545.7	124.43	20.981	20.981	0	0.55252	0.55252	0	0.026334	0.94868
497	124	7.4864	7.4864	0	1.3975	1.3975	0	0.18668	0.68538
804.29	126.43	15.056	15.056	0	0.57584	0.57584	0	0.038246	0.92633
734.3	128.9	8.2098	8.2098	0	1.2	1.2	0	0.14617	0.74495
742.5	128.5	8.2098	8.2098	0	8.3546	8.3546	0	1.0176	-0.008747
352.5	129.5	7.5897	7.5897	0	1.6997	1.6997	0	0.22395	0.63405
499	131.21	7.4864	7.4864	0	0.156	0.156	0	0.020837	0.95918
345.32	131.95	7.5897	7.5897	0	1.7191	1.7191	0	0.2265	0.63065
653.9	132.7	11.202	11.202	0	0.4	0.4	0	0.035708	0.93105
582.5	132.5	9.1241	9.1241	0	1.5811	1.5811	0	0.17329	0.70461
527.97	135.66	15.5	15.5	0	0.84421	0.84421	0	0.054467	0.89669
591.5	134	9.1241	9.1241	0	1.25	1.25	0	0.137	0.75902
